
-----    30   250           7214 
-----    30   260           6180 
-----    30   270           4871 
-----    30   280           3598 
-----    30   290           2410 
-----    30   300           1815 
-----    30   310           1565 
-----    30   320           1491 
-----    30   330           1616 
-----    30   340           1626 
-----    30   350           2086 
-----    40     0           4049 
-----    40    10           7026 
-----    40    20          10234 
-----    40    30          12102 
-----    40    40          15728 
-----    40    50          16177 
-----    40    60          10205 
-----    40    70           8525 
-----    40    80          11098 
-----    40    90          13072 
-----    40   100          15792 
-----    40   110          14360 
-----    40   120          11473 
-----    40   130           9875 
-----    40   140           8420 
-----    40   150           5876 
-----    40   160           4517 
-----    40   170           5075 
-----    40   180           5507 
-----    40   190           6306 
-----    40   200           6199 
-----    40   210           8091 
-----    40   220          10214 
-----    40   230          13072 
-----    40   240          10841 
-----    40   250          15116 
-----    40   260           9547 
-----    40   270           4846 
-----    40   280           3549 
-----    40   290           2127 
-----    40   300           1772 
-----    40   310           1716 
-----    40   320           1917 
-----    40   330           1514 
-----    40   340           1632 
-----    40   350           2376 
-----    50     0           4517 
-----    50    10           8222 
-----    50    20          12955 
-----    50    30          19372 
-----    50    40          22103 
-----    50    50          18237 
-----    50    60          12539 
-----    50    70          13827 
-----    50    80          15894 
-----    50    90          17537 
-----    50   100          18665 
-----    50   110          16605 
-----    50   120          12934 
-----    50   130          10010 
-----    50   140           6934 
-----    50   150           4988 
-----    50   160           4429 
-----    50   170           4051 
-----    50   180           4638 
-----    50   190           5577 
-----    50   200           6535 
-----    50   210           7958 
-----    50   220          10852 
-----    50   230          11859 
-----    50   240          17127 
-----    50   250          34697 
-----    50   260          10073 
-----    50   270           4709 
-----    50   280           3387 
-----    50   290           2159 
-----    50   300           1779 
-----    50   310           1769 
-----    50   320           1598 
-----    50   330           1372 
-----    50   340           1881 
-----    50   350           2440 
-----    60     0           4104 
-----    60    10           7405 
-----    60    20          12051 
-----    60    30          15749 
-----    60    40          14122 
-----    60    50          13240 
-----    60    60          11594 
-----    60    70          13651 
-----    60    80          14014 
-----    60    90          15061 
-----    60   100          14036 
-----    60   110          10506 
-----    60   120           7737 
-----    60   130           5474 
-----    60   140           3560 
-----    60   150           4002 
-----    60   160           3743 
-----    60   170           3564 
-----    60   180           3801 
-----    60   190           5302 
-----    60   200           6974 
-----    60   210           7892 
-----    60   220           9295 
-----    60   230           8286 
-----    60   240          13127 
-----    60   250          15106 
-----    60   260           6596 
-----    60   270           4333 
-----    60   280           2781 
-----    60   290           1944 
-----    60   300           1718 
-----    60   310           1449 
-----    60   320           1341 
-----    60   330           1768 
-----    60   340           1855 
-----    60   350           2588 
-----    70     0           3048 
-----    70    10           4511 
-----    70    20           6143 
-----    70    30           6490 
-----    70    40           7404 
-----    70    50           7926 
-----    70    60           7316 
-----    70    70           7547 
-----    70    80           7550 
-----    70    90           7668 
-----    70   100           5883 
-----    70   110           4480 
-----    70   120           4235 
-----    70   130           2761 
-----    70   140           2495 
-----    70   150           2799 
-----    70   160           3372 
-----    70   170           3943 
-----    70   180           4633 
-----    70   190           5726 
-----    70   200           7780 
-----    70   210           7745 
-----    70   220           7828 
-----    70   230           8038 
-----    70   240           8792 
-----    70   250           7099 
-----    70   260           5505 
-----    70   270           4174 
-----    70   280           3047 
-----    70   290           2129 
-----    70   300           1516 
-----    70   310           1360 
-----    70   320           1178 
-----    70   330           1305 
-----    70   340           1403 
-----    70   350           2008 
-----    80     0           2525 
-----    80    10           3180 
-----    80    20           3405 
-----    80    30           4102 
-----    80    40           5650 
-----    80    50           5303 
-----    80    60           4314 
-----    80    70           3997 
-----    80    80           3174 
-----    80    90           2810 
-----    80   100           2828 
-----    80   110           2857 
-----    80   120           2788 
-----    80   130           2273 
-----    80   140           2506 
-----    80   150           2456 
-----    80   160           3692 
-----    80   170           3696 
-----    80   180           4882 
-----    80   190           7115 
-----    80   200           8170 
-----    80   210           8050 
-----    80   220           8363 
-----    80   230           8580 
-----    80   240           8147 
-----    80   250           7147 
-----    80   260           5968 
-----    80   270           4619 
-----    80   280           3096 
-----    80   290           2204 
-----    80   300           1570 
-----    80   310           1240 
-----    80   320            985 
-----    80   330           1054 
-----    80   340           1327 
-----    80   350           1889 
-----    90     0           2205 
-----    90    10           2700 
-----    90    20           3083 
-----    90    30           3934 
-----    90    40           5279 
-----    90    50           4664 
-----    90    60           3538 
-----    90    70           2918 
-----    90    80           2455 
-----    90    90           2095 
-----    90   100           2640 
-----    90   110           2259 
-----    90   120           2105 
-----    90   130           2015 
-----    90   140           3159 
-----    90   150           2712 
-----    90   160           3560 
-----    90   170           4008 
-----    90   180           5802 
-----    90   190           6983 
-----    90   200           7619 
-----    90   210           9053 
-----    90   220          10664 
-----    90   230          10411 
-----    90   240           9538 
-----    90   250           8329 
-----    90   260           6598 
-----    90   270           4978 
-----    90   280           3070 
-----    90   290           2161 
-----    90   300           1565 
-----    90   310           1191 
-----    90   320           1014 
-----    90   330           1305 
-----    90   340           1658 
-----    90   350           1790 
-----   100     0           2327 
-----   100    10           3562 
-----   100    20           4491 
-----   100    30           5880 
-----   100    40           7254 
-----   100    50           5736 
-----   100    60           4148 
-----   100    70           2595 
-----   100    80           2366 
-----   100    90           1895 
-----   100   100           2231 
-----   100   110           1967 
-----   100   120           2028 
-----   100   130           2032 
-----   100   140           2546 
-----   100   150           2831 
-----   100   160           3662 
-----   100   170           4880 
-----   100   180           6055 
-----   100   190           7378 
-----   100   200           9522 
-----   100   210           9351 
-----   100   220          10801 
-----   100   230          11529 
-----   100   240          11358 
-----   100   250          10717 
-----   100   260           8136 
-----   100   270           5601 
-----   100   280           3665 
